game, level, playable, do nothing steps, advanced wins, one step wins, random wins, advanced score, one step score, random score
game_7,game_7_level0, true,50.0,1,1,1,1.0,1.0,1.0
game_7,game_7_level1, true,50.0,1,1,1,1.0,1.0,1.0
game_7,game_7_level2, true,50.0,1,1,1,1.0,1.0,1.0
game_7,game_7_level3, true,50.0,1,1,1,1.0,1.0,1.0
game_7,game_7_level4, true,50.0,1,1,1,1.0,1.0,1.0
game_20,game_20_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_20,game_20_level1, false
game_20,game_20_level2, true,2000.0,0,0,0,295150.6,280751.2,126800.2
game_20,game_20_level3, true,2000.0,0,0,0,193550.6,64600.6,83050.6
game_20,game_20_level4, false
game_12,game_12_level0, true,39.0,0,0,0,0.0,1.0,0.0
game_12,game_12_level1, true,50.0,1,1,1,1.0,1.0,1.0
game_12,game_12_level2, true,50.0,1,1,1,1.0,1.0,1.0
game_12,game_12_level3, true,39.0,0,0,0,0.0,1.0,0.0
game_12,game_12_level4, true,50.0,1,1,1,1.0,1.0,1.0
game_3,game_3_level0, true,243.0,0,0,0,25.8,15.0,5.6
game_3,game_3_level1, true,245.0,0,0,0,20.0,8.2,4.2
game_3,game_3_level2, true,218.0,0,0,0,0.0,0.0,0.0
game_3,game_3_level3, true,218.0,0,0,0,24.8,5.0,3.4
game_3,game_3_level4, true,173.0,0,0,0,17.2,7.0,5.0
game_21,game_21_level0, true,641.0,0,0,0,0.0,-600.0,0.0
game_21,game_21_level1, true,17.0,0,0,0,0.0,0.0,0.0
game_21,game_21_level2, true,42.0,0,0,0,0.0,-1000.0,0.0
game_21,game_21_level3, true,19.0,0,0,0,0.0,0.0,0.0
game_21,game_21_level4, true,27.0,0,0,0,0.0,-200.0,0.0
game_11,game_11_level0, true,2000.0,0,0,0,0.4,0.0,1.2
game_11,game_11_level1, true,2000.0,0,0,0,2.0,0.0,2.0
game_11,game_11_level2, true,2000.0,0,0,0,1.2,0.0,1.6
game_11,game_11_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_11,game_11_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_24,game_24_level0, true,50.0,1,1,1,1.0,1.0,1.0
game_24,game_24_level1, true,50.0,1,1,1,1.0,1.0,1.0
game_24,game_24_level2, true,50.0,1,1,1,1.0,1.0,1.0
game_24,game_24_level3, true,50.0,1,1,1,1.0,1.0,1.0
game_24,game_24_level4, true,50.0,1,1,1,1.0,1.0,1.0
game_8,game_8_level0, true,1666.0,0,0,0,0.0,0.0,0.0
