game, level, playable, do nothing steps, advanced wins, one step wins, random wins, advanced score, one step score, random score
game_2,game_2_level0, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level1, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level2, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level3, true,2000.0,0,0,0,0.0,0.0,0.0
game_2,game_2_level4, true,2000.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level0, true,1000.0,1,0,0,2.0,0.0,-0.8
game_0,game_0_level1, true,1000.0,1,0,0,2.0,0.2,0.2
game_0,game_0_level2, true,0.0,0,0,0,0.0,0.0,0.0
game_0,game_0_level3, true,1000.0,1,1,0,2.0,2.0,-0.2
game_0,game_0_level4, true,0.0,0,0,0,0.0,0.0,0.0
